[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
total_params = 134404 (含可训练 v_th)
hidden = [128, 128, 128], batch = 12000 (0.2x train), lr = 0.03 (cosine), sigma = 0.2, rank = 32, max_epochs = 10000
初始 v_th = [0.300/0.300/0.300], 初始 tau_m = 20.000 (VTH_PER_LAYER=True, TRAIN_TAU=False)
E0813 08:33:06.677982     510 cuda_executor.cc:1176] [0] Failed to allocate device memory of 4.00GiB (4294967296 bytes): RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory
=== Source Location Trace: ===
external/xla/xla/stream_executor/cuda/cuda_status.cc:45
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:226
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:403

LORA UPDATE (12000, 128, 32) (12000, 784, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 10, 32) (12000, 128, 32)
  calib: 0.912s/epoch
  epoch  9150 | val 0.697 | best_train 0.693 | v_th [0.572/0.230/9.882] | tau 20.000 | 305s
  epoch  9200 | val 0.699 | best_train 0.693 | v_th [0.572/0.231/9.879] | tau 20.000 | 306s
  epoch  9250 | val 0.699 | best_train 0.693 | v_th [0.571/0.231/9.880] | tau 20.000 | 308s
  epoch  9300 | val 0.699 | best_train 0.693 | v_th [0.572/0.231/9.876] | tau 20.000 | 310s
  epoch  9350 | val 0.699 | best_train 0.693 | v_th [0.573/0.230/9.879] | tau 20.000 | 311s
  epoch  9400 | val 0.699 | best_train 0.694 | v_th [0.573/0.230/9.877] | tau 20.000 | 313s
  epoch  9450 | val 0.699 | best_train 0.694 | v_th [0.574/0.230/9.875] | tau 20.000 | 315s
  epoch  9500 | val 0.696 | best_train 0.694 | v_th [0.574/0.230/9.876] | tau 20.000 | 316s
  epoch  9550 | val 0.697 | best_train 0.694 | v_th [0.575/0.230/9.877] | tau 20.000 | 318s
  epoch  9600 | val 0.698 | best_train 0.694 | v_th [0.574/0.230/9.878] | tau 20.000 | 320s
  epoch  9650 | val 0.699 | best_train 0.694 | v_th [0.574/0.230/9.877] | tau 20.000 | 321s
  epoch  9700 | val 0.698 | best_train 0.694 | v_th [0.574/0.230/9.877] | tau 20.000 | 323s
  epoch  9750 | val 0.697 | best_train 0.694 | v_th [0.574/0.230/9.877] | tau 20.000 | 324s
  epoch  9800 | val 0.698 | best_train 0.694 | v_th [0.575/0.230/9.877] | tau 20.000 | 326s
  epoch  9850 | val 0.699 | best_train 0.694 | v_th [0.575/0.230/9.877] | tau 20.000 | 328s
  epoch  9900 | val 0.699 | best_train 0.694 | v_th [0.575/0.230/9.877] | tau 20.000 | 329s
  epoch  9950 | val 0.699 | best_train 0.694 | v_th [0.575/0.230/9.877] | tau 20.000 | 331s
  epoch 10000 | val 0.699 | best_train 0.694 | v_th [0.575/0.230/9.877] | tau 20.000 | 332s

===== 可训练 LIF 超参实验汇总 =====
epochs=10000 val_acc=0.699 best_train=0.694 v_th(0.300 -> [0.575/0.230/9.877]) tau(20.0 -> 20.000) (332s)

results appended to results_vth_trainable_h128_128_128_perlayer_cosine.csv
