[env] backend=cuda batch=60000 accumulate=5 chunk=12000 rank=64 T=8 noise_reuse=0
[data] train=60000 test=10000 dir=D:\Rust\snn_t1\mnist_data
epoch  2190 | train_acc 0.8630 | best_train 0.8650 | 1.35s | cum 2914.1s
epoch  2200 | train_acc 0.8648 | best_train 0.8651 | 1.34s | cum 2927.6s
epoch  2210 | train_acc 0.8646 | best_train 0.8651 | 1.30s | cum 2940.8s
epoch  2220 | train_acc 0.8638 | best_train 0.8662 | 1.33s | cum 2954.1s
epoch  2230 | train_acc 0.8634 | best_train 0.8665 | 1.30s | cum 2967.4s
epoch  2240 | train_acc 0.8645 | best_train 0.8665 | 1.34s | cum 2980.8s
epoch  2250 | train_acc 0.8654 | best_train 0.8665 | 1.34s | cum 2994.1s
epoch  2260 | train_acc 0.8686 | best_train 0.8686 | 1.34s | cum 3007.5s
epoch  2270 | train_acc 0.8666 | best_train 0.8686 | 1.33s | cum 3020.8s
epoch  2280 | train_acc 0.8673 | best_train 0.8686 | 1.30s | cum 3033.9s
epoch  2290 | train_acc 0.8685 | best_train 0.8695 | 1.30s | cum 3046.9s
epoch  2300 | train_acc 0.8686 | best_train 0.8695 | 1.29s | cum 3059.8s
epoch  2310 | train_acc 0.8698 | best_train 0.8709 | 1.30s | cum 3072.8s
epoch  2320 | train_acc 0.8683 | best_train 0.8709 | 1.33s | cum 3085.9s
epoch  2330 | train_acc 0.8689 | best_train 0.8709 | 1.33s | cum 3099.2s
epoch  2340 | train_acc 0.8712 | best_train 0.8717 | 1.33s | cum 3112.5s
epoch  2350 | train_acc 0.8698 | best_train 0.8730 | 1.33s | cum 3125.8s
epoch  2360 | train_acc 0.8728 | best_train 0.8730 | 1.30s | cum 3139.1s
epoch  2370 | train_acc 0.8720 | best_train 0.8730 | 1.31s | cum 3152.0s
epoch  2380 | train_acc 0.8714 | best_train 0.8730 | 1.28s | cum 3165.0s
epoch  2390 | train_acc 0.8722 | best_train 0.8734 | 1.29s | cum 3177.8s
epoch  2400 | train_acc 0.8715 | best_train 0.8734 | 1.29s | cum 3191.0s
epoch  2410 | train_acc 0.8719 | best_train 0.8734 | 1.34s | cum 3204.0s
epoch  2420 | train_acc 0.8717 | best_train 0.8750 | 1.38s | cum 3217.1s
epoch  2430 | train_acc 0.8717 | best_train 0.8750 | 1.33s | cum 3230.4s
epoch  2440 | train_acc 0.8724 | best_train 0.8750 | 1.35s | cum 3243.7s
epoch  2450 | train_acc 0.8741 | best_train 0.8750 | 1.32s | cum 3257.0s
epoch  2460 | train_acc 0.8738 | best_train 0.8750 | 1.34s | cum 3270.3s
epoch  2470 | train_acc 0.8746 | best_train 0.8750 | 1.29s | cum 3283.5s
epoch  2480 | train_acc 0.8763 | best_train 0.8763 | 1.33s | cum 3296.7s
epoch  2490 | train_acc 0.8756 | best_train 0.8763 | 1.32s | cum 3309.9s
epoch  2500 | train_acc 0.8750 | best_train 0.8763 | 1.32s | cum 3323.1s
epoch  2510 | train_acc 0.8752 | best_train 0.8763 | 1.32s | cum 3336.2s
epoch  2520 | train_acc 0.8734 | best_train 0.8763 | 1.33s | cum 3349.5s
epoch  2530 | train_acc 0.8750 | best_train 0.8763 | 1.32s | cum 3362.7s
epoch  2540 | train_acc 0.8755 | best_train 0.8778 | 1.32s | cum 3376.0s
epoch  2550 | train_acc 0.8754 | best_train 0.8778 | 1.32s | cum 3389.3s
epoch  2560 | train_acc 0.8770 | best_train 0.8778 | 6.61s | cum 3412.0s
epoch  2570 | train_acc 0.8756 | best_train 0.8778 | 6.21s | cum 3462.4s
epoch  2580 | train_acc 0.8767 | best_train 0.8778 | 10.38s | cum 3517.7s
epoch  2590 | train_acc 0.8778 | best_train 0.8778 | 1.37s | cum 3581.3s
epoch  2600 | train_acc 0.8764 | best_train 0.8781 | 3.66s | cum 3625.3s
epoch  2610 | train_acc 0.8757 | best_train 0.8781 | 8.64s | cum 3688.0s
